2459924.500000000 *   4.7264981842E+05  -0.0002532
2459924.500694444 *   4.7264977116E+05  -0.0013220
2459924.501388889 *   4.7264965981E+05  -0.0023895
2459924.502083333 *   4.7264948446E+05  -0.0034556
2459924.502777778 *   4.7264924519E+05  -0.0045204
2459924.503472222 *   4.7264894207E+05  -0.0055838
2459924.504166667 *   4.7264857519E+05  -0.0066458
2459924.504861111 *   4.7264814465E+05  -0.0077064
2459924.505555556 *   4.7264765051E+05  -0.0087655
2459924.506250000 *   4.7264709287E+05  -0.0098232
2459924.506944444 *   4.7264647182E+05  -0.0108794
2459924.507638889 *   4.7264578745E+05  -0.0119342
2459924.508333333 *   4.7264503984E+05  -0.0129874
2459924.509027778 *   4.7264422908E+05  -0.0140390
2459924.509722222 *   4.7264335528E+05  -0.0150892
2459924.510416667 *   4.7264241852E+05  -0.0161378
2459924.511111111 *   4.7264141890E+05  -0.0171847
2459924.511805556 C   4.7264035651E+05  -0.0182301
2459924.512500000 C   4.7263923145E+05  -0.0192739
2459924.513194445 C   4.7263804381E+05  -0.0203160
2459924.513888889 C   4.7263679370E+05  -0.0213565
2459924.514583333 C   4.7263548122E+05  -0.0223953
2459924.515277778 C   4.7263410646E+05  -0.0234324
2459924.515972222 C   4.7263266953E+05  -0.0244678
2459924.516666667 C   4.7263117053E+05  -0.0255015
2459924.517361111 C   4.7262960956E+05  -0.0265334
2459924.518055555 C   4.7262798674E+05  -0.0275636
2459924.518750000 C   4.7262630217E+05  -0.0285920
2459924.519444444 C   4.7262455594E+05  -0.0296186
2459924.520138889 C   4.7262274818E+05  -0.0306434
2459924.520833333 C   4.7262087899E+05  -0.0316663
2459924.521527778 C   4.7261894849E+05  -0.0326874
2459924.522222222 C   4.7261695677E+05  -0.0337066
2459924.522916667 C   4.7261490397E+05  -0.0347240
2459924.523611111 C   4.7261279018E+05  -0.0357394
2459924.524305556 C   4.7261061553E+05  -0.0367530
2459924.525000000 C   4.7260838013E+05  -0.0377645
2459924.525694444 C   4.7260608409E+05  -0.0387742
2459924.526388889 C   4.7260372754E+05  -0.0397818
2459924.527083333 C   4.7260131060E+05  -0.0407875
2459924.527777778 C   4.7259883338E+05  -0.0417911
2459924.528472222 C   4.7259629600E+05  -0.0427928
2459924.529166667 C   4.7259369859E+05  -0.0437924
2459924.529861111 C   4.7259104127E+05  -0.0447899
2459924.530555556 C   4.7258832416E+05  -0.0457853
2459924.531250000 C   4.7258554740E+05  -0.0467787
2459924.531944444 C   4.7258271110E+05  -0.0477699
2459924.532638889 C   4.7257981539E+05  -0.0487591
2459924.533333333 C   4.7257686040E+05  -0.0497460
2459924.534027778 C   4.7257384627E+05  -0.0507309
2459924.534722222 C   4.7257077311E+05  -0.0517135
2459924.535416667 C   4.7256764106E+05  -0.0526939
2459924.536111111 C   4.7256445026E+05  -0.0536721
2459924.536805556 N   4.7256120083E+05  -0.0546481
2459924.537500000 N   4.7255789292E+05  -0.0556219
2459924.538194444 N   4.7255452665E+05  -0.0565934
2459924.538888889 N   4.7255110217E+05  -0.0575626
2459924.539583333 N   4.7254761961E+05  -0.0585295
2459924.540277778 N   4.7254407910E+05  -0.0594940
2459924.540972222 N   4.7254048080E+05  -0.0604563
2459924.541666667 N   4.7253682483E+05  -0.0614162
2459924.542361111 N   4.7253311134E+05  -0.0623737
2459924.543055556 N   4.7252934048E+05  -0.0633289
2459924.543750000 N   4.7252551238E+05  -0.0642817
2459924.544444445 N   4.7252162719E+05  -0.0652320
2459924.545138889 N   4.7251768505E+05  -0.0661799
2459924.545833333 N   4.7251368612E+05  -0.0671254
2459924.546527778 N   4.7250963053E+05  -0.0680684
2459924.547222222 N   4.7250551845E+05  -0.0690089
2459924.547916667 N   4.7250135001E+05  -0.0699470
2459924.548611111 N   4.7249712536E+05  -0.0708825
2459924.549305555 N   4.7249284467E+05  -0.0718155
2459924.550000000 N   4.7248850807E+05  -0.0727459
2459924.550694444 N   4.7248411573E+05  -0.0736738
2459924.551388889 N   4.7247966780E+05  -0.0745991
2459924.552083333 N   4.7247516443E+05  -0.0755218
2459924.552777778 N   4.7247060577E+05  -0.0764420
2459924.553472222 N   4.7246599199E+05  -0.0773594
2459924.554166667 N   4.7246132325E+05  -0.0782743
2459924.554861111 N   4.7245659970E+05  -0.0791865
2459924.555555556 N   4.7245182150E+05  -0.0800960
2459924.556250000 N   4.7244698881E+05  -0.0810028
2459924.556944444 N   4.7244210180E+05  -0.0819069
2459924.557638889 N   4.7243716063E+05  -0.0828083
2459924.558333333 N   4.7243216546E+05  -0.0837070
2459924.559027778 N   4.7242711645E+05  -0.0846029
2459924.559722222 N   4.7242201378E+05  -0.0854960
2459924.560416667 N   4.7241685760E+05  -0.0863864
2459924.561111111 N   4.7241164809E+05  -0.0872739
2459924.561805556 N   4.7240638541E+05  -0.0881587
2459924.562500000 N   4.7240106974E+05  -0.0890406
2459924.563194444 N   4.7239570124E+05  -0.0899197
2459924.563888889 N   4.7239028008E+05  -0.0907959
2459924.564583333 N   4.7238480644E+05  -0.0916693
2459924.565277778 A   4.7237928049E+05  -0.0925397
2459924.565972222 A   4.7237370241E+05  -0.0934073
2459924.566666667 A   4.7236807235E+05  -0.0942719
2459924.567361111 A   4.7236239052E+05  -0.0951336
2459924.568055556 A   4.7235665707E+05  -0.0959923
2459924.568750000 A   4.7235087219E+05  -0.0968481
2459924.569444444 A   4.7234503606E+05  -0.0977009
2459924.570138889 A   4.7233914885E+05  -0.0985507
2459924.570833333 A   4.7233321075E+05  -0.0993975
